epoch,train_loss,test_c1,epe_loss,test_c3,max_acc,max_epo
1,24.57069829366431,41.82619002860983,2.790901401620748,15.081599104798762,15.081599104798762,1
2,17.16047454086802,39.888204494768004,2.1787402185198887,11.597184732381697,11.597184732381697,2
3,15.832574538911366,40.809416634310885,2.00767231373063,10.129412832197165,10.129412832197165,3
4,14.814508447164222,27.42464292748732,1.799625816892933,9.72914081365782,9.72914081365782,4
5,13.89648886190741,25.36423713914328,1.6483577623348356,8.694182608734707,8.694182608734707,5
6,13.378645446680133,26.304494035696834,2.369183528532887,10.375508140600237,8.694182608734707,5
7,12.400993427382081,23.10071262773537,1.8730590081110985,8.459843544294584,8.459843544294584,7
8,12.497647191984187,22.827849909909133,2.131180816448675,8.469176486464686,8.459843544294584,7
9,11.799309634034591,25.34415574234563,1.5663890281183708,8.162014052631909,8.162014052631909,9
10,11.166011597457368,23.07741711497961,1.3847734820402091,7.2127351581929195,7.2127351581929195,10
11,11.9604746064371,22.929522162563938,1.7748979964008988,8.471544417037489,7.2127351581929195,10
12,11.084343320127331,25.042612292395848,1.4081646337087748,7.343581337738037,7.2127351581929195,10
13,10.742085727550919,30.932470043964734,1.8997057205268724,9.274729716905963,7.2127351581929195,10
14,10.436985395099226,37.48223476365227,1.8014664845404138,10.30396300009399,7.2127351581929195,10
15,10.197863188765194,18.232165064147797,1.5907309353704393,6.701618195475516,6.701618195475516,15
16,10.358738241554656,19.422585018184304,1.5844906183495249,7.120398963615861,6.701618195475516,15
17,10.044332685032183,32.15434417645778,1.667646039889131,7.596404928348223,6.701618195475516,15
18,9.917353750704766,22.1463929159872,1.6155149260048614,7.410691978643376,6.701618195475516,15
19,9.840479919626107,17.58447195124895,1.1335348413323592,6.060727320375793,6.060727320375793,19
20,9.97889925288328,22.40462350912083,1.5222313790139803,6.261509376210542,6.060727320375793,19
21,10.083539047533476,20.475912970316713,1.229423961751962,7.095615369044859,6.060727320375793,19
22,9.40334971851702,15.398096151116908,1.1086673966524896,5.352340301759571,5.352340301759571,22
23,9.393312044337462,15.500930089520395,1.1011178677846902,5.794632455761344,5.352340301759571,22
24,9.177634387712015,17.185372131469638,1.0736059945054404,5.769477861846499,5.352340301759571,22
25,9.186996169204635,17.54893732272135,1.2994039433505002,6.169090853811309,5.352340301759571,22
26,9.30344983484648,27.674216918473043,1.5216416494509524,7.3413235897796705,5.352340301759571,22
27,8.91822642322225,15.709755307617543,1.0504403879741182,5.178305357214581,5.178305357214581,27
28,8.500955801578778,14.305211834520534,1.0950611200115863,4.4407417513934275,4.4407417513934275,28
29,8.987812997062234,20.840813407512627,1.1870887178363223,6.450151909722222,4.4407417513934275,28
30,8.61043461150602,18.613604657765546,1.2876621587117743,5.740458214630048,4.4407417513934275,28
31,8.090262491491776,14.541893340591452,1.306719369375038,5.24835671458441,4.4407417513934275,28
32,8.724058534207938,14.634624686587708,1.0535735108369166,4.961328315256807,4.4407417513934275,28
33,8.751660695439732,16.50392402303799,1.146511614495797,5.62679340416005,4.4407417513934275,28
34,8.526982760762946,14.441209294343373,1.0568330984077277,5.080591257214677,4.4407417513934275,28
35,8.638126201188063,19.310278824209618,1.181878553458573,5.838230473883059,4.4407417513934275,28
36,8.291973433758242,14.060342177032936,0.8791187206792552,4.600125632208909,4.4407417513934275,28
