epoch,train_loss,test_c1,epe_loss,test_c3,max_acc,max_epo
1,7.0754588148478605,11.542199618946752,0.9876003032976753,4.165522165704156,4.165522165704156,1
2,6.02474761913025,10.697635993524797,0.9016593019539272,3.7820142869019637,3.7820142869019637,2
3,5.84860617640705,14.15002242883339,1.0237694368595134,4.481086050661135,3.7820142869019637,2
4,5.075887955850059,9.657149087298908,0.8612035410356659,3.673981078279471,3.673981078279471,4
5,4.976874887824064,9.448173736969123,0.9871282848712367,3.745778978010086,3.673981078279471,4
6,4.8704067311138255,9.405041986463566,1.101576091760081,3.8288996808094007,3.673981078279471,4
7,4.798986999994564,9.67474210793199,1.085836958510742,3.8969252151294804,3.673981078279471,4
8,4.741412142703144,9.289595679694807,1.0858581479776799,3.7974110544342383,3.673981078279471,4
9,4.726360569321715,9.313295492063203,1.11056505812972,3.828431642334084,3.673981078279471,4
10,4.685592891878998,9.682449085096147,1.258553754504925,3.91453688082653,3.673981078279471,4
11,4.649412455385835,9.371812132674737,1.1964415544966815,3.8771784689380526,3.673981078279471,4
12,4.6544108027341595,9.331972189090777,1.1299239013576707,3.7568089259749726,3.673981078279471,4
13,4.6376657691100975,9.20046656549047,1.1894171627060295,3.7517676997630716,3.673981078279471,4
14,4.634342766087998,9.279282369153554,1.1439634933984282,3.811987328867693,3.673981078279471,4
15,4.630507241156877,8.94755655061981,0.9000797376827423,3.5514422958449394,3.5514422958449394,15
16,4.603878186535184,9.237733571380396,1.236336513182053,3.6816850242831647,3.5514422958449394,15
17,4.612766778464079,9.299294334291396,1.0016597791134172,3.6455432193874566,3.5514422958449394,15
18,4.567927531867326,9.423808528007026,1.0292264010573788,3.7595670716732887,3.5514422958449394,15
19,4.544961336096413,9.164601739357296,1.3444144412505756,3.9868260019171,3.5514422958449394,15
20,4.550118078215543,8.733476114802317,0.8039267730678595,3.364688781540363,3.364688781540363,20
21,4.4502244075950745,8.757213823093306,0.9867435745260843,3.3786345849699093,3.364688781540363,20
1,6.401124946818648,22.166076673618576,1.2485925238605498,7.590139854475265,7.590139854475265,1
2,6.016212073316679,11.322249080473105,1.1404845578598266,4.392507479290919,4.392507479290919,2
3,5.982095330690156,11.706310922372152,1.0461932524333672,4.109485001784856,4.109485001784856,3
4,5.189770346294426,9.976459213221485,1.051338645778571,3.9976556762575464,3.9976556762575464,4
