epoch,train_loss,test_c1,epe_loss,test_c3,max_acc,max_epo
1,15.562547287468004,18.52830236982588,1.5258781985621703,6.470594365026812,6.470594365026812,1
2,14.180927107881491,35.06960826033289,2.258155148789255,13.10758844622871,6.470594365026812,1
1,14.791363352370874,15.639629545812067,1.3798169368146131,5.831119048974489,5.831119048974489,1
2,13.682440135582913,15.24888027188993,1.3429965402574267,5.605398972299877,5.605398972299877,2
3,11.907922949037388,14.676266090589825,1.317452981644983,5.470651188886965,5.470651188886965,3
4,11.37222922484811,14.972333335103963,1.3171260364873025,5.491604342522052,5.470651188886965,3
5,11.341804973841452,14.783416571313824,1.3196775271800125,5.335502289677597,5.335502289677597,5
6,11.004559491386582,14.672930529041198,1.2545593457754023,5.283988132142511,5.283988132142511,6
7,10.85550214325341,14.667023513342622,1.2590108952545462,5.2737699834036675,5.2737699834036675,7
8,10.917353319556769,14.136642169357334,1.1913346947019698,5.0064040228370565,5.0064040228370565,8
9,10.55852519910689,14.14018694695086,1.215025031385047,5.034286144797317,5.0064040228370565,8
10,10.554537486522248,13.830408765111038,1.1955022790707184,4.984882192521361,4.984882192521361,10
11,10.553550945250539,14.157227966353899,1.238738209302205,5.085199642548558,4.984882192521361,10
12,10.23985803166624,13.910778723777122,1.1956931712808967,4.930502180342527,4.930502180342527,12
13,10.13561038085728,13.577639510333558,1.1914773870278268,4.997045249282248,4.930502180342527,12
14,10.2108579289614,14.055027004374947,1.2112523252950265,5.002589250755368,4.930502180342527,12
15,9.996332191190843,13.523871467752569,1.171880157728806,5.001517149617858,4.930502180342527,12
16,10.002805342460654,14.117939031517245,1.2224848683496952,5.053029224074749,4.930502180342527,12
17,9.961247974789723,13.273467096309775,1.1520362533834991,4.85756897185035,4.85756897185035,17
18,9.877860955757662,13.260573045322221,1.1385036832910467,4.821439696785141,4.821439696785141,18
19,9.76080826756275,13.078156257584778,1.1340519605442159,4.71169389991854,4.71169389991854,19
20,9.757147264956188,13.997721029937566,1.227709286378203,4.975316193100692,4.71169389991854,19
